SSVA,  13.323083,      -61.182508,    787.0, y, 2021-01-19, Chan (digitiser GPS)
SVB,   13.27450,       -61.25040,     282,   y, 2007-05-27, GPS - nmx soh log (assumed 282m
SVGT,  13.2805,        -61.1193,       25.3, y, 2020-01-09, Chan, SRC
SVT,   13.16800,       -61.24500,      38,   y,           , Soufriere System file
SVV,   13.319594,      -61.212551,    207,   y, 2021-09-05, Chan (digitiser GPS)
SOA,   13.37347,       -61.14861,      40,   y,           , Soufriere System file
SFAN,  13.381502,      -61.165876,     40.0, y, 2021-01-22, Chan (digitiser GPS)
SVWL,  13.316220,      -61.152760,    353.0, y, 2021-02-28, Chan (digitiser GPS)
SVFH,  13.29690,       -61.23120,     57.0,  y, 2023-02-20, ISC
SVGM,  13.21510,       -61.17460,    367.0,  y, 2023-02-20, ISC
