Name	Latitude	Longitude	Altitude	Description
MBET	16.741	-62.1627	99	Bethel, Montserrat (MBET.)
MCPT	16.7086833	-62.1811667	759	Chances Peak, Montserrat (MCPT.)
MGAT	16.7101667	-62.1886667	479	Gages, Montserrat (MGAT.)
MGHZ	16.7217	-62.2068	351	 (MGHZ.)
MHRV	16.7208	-62.1705	382	Hermitage. Montserrat (MHRV.)
MJHT	16.76725	-62.16977	185	Jack Boy Hill, Montserrat (MJHT.)
MLGT	16.725	-62.1623333	287	Long Ground, Montserrat (MLGT.)
MLYT	16.7213333	-62.191	355	Lees Yard, Montserrat (MLYT.)
MPVE	16.7067	-62.2232	17	Montserrat (MPVE.)
MRYT	16.7038	-62.1532	355	Roaches Yard, Montserrat (MRYT.)
MSAT	16.7478	-62.2248	185	Salem, Montserrat (MSAT.)
MSPT	16.6835	-62.1991667	127	St. Patrick's, Montserrat (MSPT.)
MSSZ	16.69	-62.172	665	South Soufriere Hills, Montserrat (MSSZ.)
MVPV	16.7435	-62.2357	23	Vieux Pointe, Montserrat (MVPV.)
MWH2	16.7398	-62.1932	411	 (MWH2.)
MWHZ	16.7421667	-62.1908333	407	Windy Hill, Montserrat (MWHZ.)
MWHT	16.734000	-62.19000	350	Windy Hill, Montserrat (MWHT.)
